numero,fecha
9719,02/01/2026
6570,03/01/2026
8615,04/01/2026
4189,05/01/2026
3484,06/01/2026
0677,07/01/2026
6766,08/01/2026
1383,09/01/2026
4299,10/01/2026
6566,11/01/2026
7829,12/01/2026
3229,13/01/2026
0479,14/01/2026
8358,15/01/2026
7450,16/01/2026
7755,17/01/2026
5141,18/01/2026
0547,19/01/2026
9686,20/01/2026
0419,21/01/2026
