Dígito,Cantidad,Porcentaje
0,2,3.4482758620689653
1,3,5.172413793103448
2,4,6.896551724137931
3,5,8.620689655172415
4,6,10.344827586206897
5,7,12.068965517241379
6,9,15.517241379310345
7,9,15.517241379310345
8,7,12.068965517241379
9,6,10.344827586206897
